[[1], [4, 0], [5, 0, 0], [0, 1, 1, 1], [2, 1, 1, 1, 1], [3, 0, 0, 0, 0, 1]], 0.7302
[[1], [3, 1], [5, 1, 1], [2, 0, 1, 1], [1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 0]], 0.7158
[[3], [2, 0], [4, 0, 1], [2, 1, 1, 1], [4, 0, 0, 1, 0], [2, 0, 1, 0, 0, 0]], 0.7398
[[3], [4, 1], [5, 0, 1], [2, 0, 0, 1], [5, 1, 1, 0, 1], [5, 0, 0, 0, 1, 1]], 0.7186
[[0], [1, 1], [1, 0, 0], [3, 1, 0, 1], [4, 1, 1, 1, 1], [3, 0, 0, 1, 1, 1]], 0.7256
[[1], [1, 1], [2, 0, 0], [0, 1, 0, 1], [4, 0, 0, 0, 1], [5, 1, 0, 0, 1, 0]], 0.7294
[[3], [1, 0], [4, 1, 0], [0, 0, 0, 0], [5, 0, 1, 0, 1], [4, 0, 1, 0, 0, 1]], 0.728
[[4], [5, 1], [3, 1, 1], [1, 0, 0, 0], [3, 1, 1, 0, 0], [0, 0, 0, 0, 0, 1]], 0.7282
[[4], [4, 0], [4, 0, 0], [3, 0, 1, 1], [0, 0, 0, 1, 1], [3, 0, 0, 0, 1, 0]], 0.735
[[3], [3, 1], [2, 0, 0], [3, 1, 0, 0], [1, 0, 0, 1, 0], [4, 1, 0, 0, 1, 1]], 0.7376
[[5], [0, 1], [4, 1, 1], [5, 1, 0, 0], [3, 1, 0, 0, 1], [5, 0, 0, 0, 1, 0]], 0.7282
[[1], [2, 0], [2, 1, 0], [1, 0, 0, 0], [5, 1, 1, 0, 1], [5, 1, 0, 1, 1, 0]], 0.7288
[[4], [5, 0], [1, 0, 1], [4, 0, 0, 1], [4, 0, 1, 1, 0], [0, 1, 0, 0, 1, 1]], 0.7388
[[3], [3, 1], [3, 0, 0], [4, 1, 0, 0], [2, 1, 0, 0, 1], [2, 0, 0, 0, 0, 0]], 0.7386
[[0], [2, 1], [2, 0, 1], [0, 0, 1, 0], [4, 0, 1, 0, 0], [1, 0, 0, 1, 1, 0]], 0.7362
[[3], [0, 0], [3, 1, 1], [2, 0, 1, 0], [5, 0, 0, 0, 0], [5, 0, 1, 0, 1, 0]], 0.737
[[4], [0, 0], [1, 1, 0], [5, 0, 1, 0], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1]], 0.7246
[[3], [5, 0], [3, 1, 1], [5, 0, 0, 1], [5, 0, 0, 0, 1], [2, 1, 1, 0, 1, 0]], 0.7294
[[2], [2, 0], [5, 1, 1], [2, 0, 0, 0], [2, 0, 0, 0, 0], [4, 0, 1, 0, 0, 1]], 0.738
[[5], [0, 1], [2, 0, 1], [1, 0, 0, 0], [5, 0, 0, 0, 0], [5, 0, 1, 0, 0, 0]], 0.7412
[[0], [5, 0], [1, 1, 0], [3, 1, 0, 1], [0, 0, 0, 1, 0], [0, 0, 1, 1, 0, 0]], 0.7364
[[2], [0, 0], [2, 0, 0], [4, 0, 0, 1], [4, 1, 0, 0, 1], [1, 0, 1, 0, 0, 1]], 0.7348
[[4], [0, 0], [4, 0, 0], [1, 0, 1, 1], [4, 0, 0, 0, 0], [0, 0, 0, 1, 1, 0]], 0.7426
[[2], [0, 1], [1, 0, 1], [1, 1, 0, 0], [5, 1, 1, 1, 0], [0, 1, 1, 1, 0, 1]], 0.7386
[[2], [1, 0], [2, 1, 0], [2, 1, 1, 0], [2, 1, 1, 1, 1], [1, 0, 0, 0, 0, 1]], 0.7272
[[3], [3, 1], [4, 0, 0], [3, 1, 0, 0], [5, 1, 1, 0, 0], [2, 0, 0, 1, 0, 1]], 0.7338
[[3], [3, 1], [5, 0, 0], [1, 0, 1, 0], [5, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0]], 0.7378
[[2], [2, 1], [2, 0, 1], [4, 0, 1, 0], [3, 1, 0, 1, 0], [4, 1, 0, 0, 0, 0]], 0.7388
[[4], [3, 1], [2, 0, 0], [4, 0, 0, 1], [1, 0, 1, 0, 1], [2, 0, 0, 1, 0, 1]], 0.7228
[[2], [1, 0], [5, 0, 0], [4, 1, 1, 1], [0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0]], 0.7436
[[4], [5, 1], [1, 0, 0], [0, 1, 0, 1], [0, 1, 0, 0, 0], [3, 0, 0, 0, 1, 1]], 0.734
[[2], [0, 0], [1, 0, 1], [3, 0, 0, 0], [4, 1, 0, 1, 0], [1, 0, 0, 0, 0, 1]], 0.7434
[[0], [4, 0], [5, 0, 0], [2, 0, 0, 0], [3, 0, 1, 1, 1], [2, 0, 1, 0, 0, 1]], 0.7342
[[2], [2, 0], [2, 0, 0], [5, 1, 0, 1], [0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0]], 0.7466
[[2], [2, 1], [3, 0, 1], [3, 1, 1, 1], [3, 0, 0, 0, 1], [3, 0, 1, 1, 0, 1]], 0.711
[[1], [1, 1], [2, 1, 1], [1, 1, 0, 1], [5, 1, 0, 0, 1], [1, 0, 0, 0, 1, 0]], 0.7174
[[2], [1, 0], [5, 1, 1], [5, 0, 0, 0], [0, 1, 0, 1, 0], [2, 0, 1, 0, 0, 1]], 0.7426
[[3], [1, 0], [4, 0, 0], [2, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0]], 0.738
[[1], [5, 0], [4, 1, 0], [3, 0, 0, 0], [4, 0, 0, 0, 0], [5, 1, 0, 0, 0, 1]], 0.7324
[[2], [2, 0], [0, 1, 0], [0, 1, 0, 0], [0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1]], 0.7344
[[5], [5, 1], [1, 1, 0], [4, 0, 0, 0], [4, 1, 0, 0, 0], [5, 1, 0, 1, 0, 1]], 0.7284
[[3], [5, 0], [0, 0, 1], [0, 0, 1, 0], [4, 0, 0, 1, 0], [3, 1, 0, 0, 0, 0]], 0.744
[[4], [5, 0], [0, 0, 1], [0, 0, 0, 0], [3, 1, 0, 1, 0], [1, 1, 0, 0, 0, 0]], 0.7474
[[1], [4, 1], [3, 0, 0], [2, 1, 0, 1], [1, 0, 0, 1, 1], [2, 0, 0, 0, 1, 0]], 0.7316
[[5], [1, 0], [3, 0, 1], [3, 0, 1, 0], [4, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0]], 0.7428
[[5], [0, 0], [5, 0, 0], [5, 0, 0, 1], [3, 0, 0, 1, 1], [5, 0, 0, 1, 1, 0]], 0.7378
[[3], [0, 0], [3, 0, 1], [3, 0, 0, 0], [4, 1, 0, 0, 0], [3, 0, 1, 0, 0, 1]], 0.7442
[[1], [0, 1], [5, 1, 0], [2, 0, 0, 0], [1, 1, 0, 0, 1], [2, 0, 0, 0, 0, 1]], 0.7264
[[5], [1, 1], [3, 0, 0], [4, 1, 0, 0], [4, 0, 1, 0, 0], [4, 0, 0, 1, 1, 0]], 0.7358
[[1], [3, 0], [2, 1, 1], [2, 0, 0, 0], [1, 0, 0, 1, 1], [5, 0, 1, 0, 0, 0]], 0.7396
[[3], [1, 1], [2, 0, 1], [4, 0, 0, 0], [3, 0, 1, 0, 0], [1, 0, 1, 0, 0, 0]], 0.739
[[4], [3, 1], [2, 0, 0], [1, 0, 0, 0], [3, 1, 0, 0, 0], [2, 0, 0, 1, 0, 1]], 0.7364
[[0], [0, 1], [5, 0, 0], [4, 0, 1, 0], [1, 0, 0, 0, 1], [5, 0, 0, 1, 1, 0]], 0.734
[[0], [5, 0], [0, 0, 0], [1, 0, 0, 0], [4, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0]], 0.7416
[[2], [3, 0], [3, 1, 0], [1, 0, 0, 0], [4, 1, 0, 1, 1], [3, 1, 0, 0, 0, 1]], 0.7338
[[4], [2, 1], [2, 0, 0], [3, 0, 0, 0], [3, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0]], 0.7386
[[0], [4, 0], [0, 1, 0], [3, 0, 0, 0], [1, 0, 1, 1, 0], [4, 1, 1, 0, 0, 0]], 0.735
[[2], [1, 0], [3, 0, 0], [3, 0, 0, 1], [2, 1, 1, 1, 1], [2, 0, 0, 0, 0, 0]], 0.7372
[[0], [0, 0], [3, 0, 1], [3, 1, 0, 1], [4, 0, 0, 1, 0], [5, 1, 1, 1, 0, 0]], 0.7428
[[1], [5, 0], [5, 0, 1], [2, 0, 0, 0], [0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1]], 0.739
[[5], [1, 0], [5, 0, 0], [0, 0, 1, 0], [0, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]], 0.7408
[[4], [2, 1], [3, 0, 1], [3, 1, 1, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1, 0]], 0.7308
[[3], [0, 0], [5, 0, 1], [4, 0, 0, 1], [5, 1, 0, 0, 0], [5, 1, 1, 0, 1, 1]], 0.7366
[[4], [4, 1], [1, 0, 0], [3, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], 0.7416
[[2], [2, 1], [2, 0, 0], [4, 1, 0, 0], [2, 1, 0, 0, 0], [5, 0, 0, 0, 0, 0]], 0.7424
[[5], [2, 0], [2, 0, 0], [5, 1, 0, 0], [3, 1, 0, 0, 0], [5, 1, 1, 0, 0, 0]], 0.7424
[[5], [1, 1], [1, 1, 0], [4, 1, 0, 0], [0, 0, 0, 1, 0], [1, 0, 0, 1, 0, 0]], 0.7386
[[0], [5, 0], [5, 0, 0], [1, 1, 1, 0], [0, 0, 0, 0, 1], [5, 0, 0, 1, 0, 0]], 0.7378
[[0], [5, 1], [5, 1, 0], [5, 0, 0, 1], [5, 1, 0, 1, 0], [4, 0, 1, 0, 0, 0]], 0.7302
[[4], [4, 0], [0, 1, 0], [4, 1, 0, 0], [3, 1, 0, 0, 0], [5, 0, 1, 0, 0, 0]], 0.7374
[[1], [0, 0], [5, 1, 0], [1, 0, 0, 1], [5, 0, 0, 1, 1], [5, 1, 1, 1, 0, 0]], 0.7292
[[1], [1, 0], [2, 0, 0], [3, 0, 0, 0], [4, 0, 0, 1, 0], [3, 0, 0, 0, 0, 0]], 0.7414
[[4], [2, 1], [1, 1, 0], [5, 0, 0, 0], [1, 1, 0, 0, 1], [0, 0, 1, 0, 1, 0]], 0.7286
[[5], [4, 0], [1, 1, 1], [1, 0, 1, 0], [3, 0, 1, 0, 0], [3, 0, 0, 0, 0, 0]], 0.7352
[[2], [1, 0], [1, 0, 0], [5, 1, 0, 0], [1, 0, 1, 1, 0], [1, 0, 0, 0, 0, 0]], 0.7376
[[1], [4, 0], [2, 0, 0], [4, 0, 1, 1], [3, 1, 0, 0, 0], [2, 0, 1, 0, 0, 0]], 0.7412
[[5], [1, 0], [0, 1, 0], [5, 0, 0, 0], [0, 0, 1, 0, 0], [2, 0, 0, 0, 0, 1]], 0.7288
[[3], [3, 0], [4, 0, 0], [2, 0, 1, 1], [2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1]], 0.738
[[0], [4, 0], [0, 1, 0], [3, 0, 1, 0], [3, 1, 0, 0, 0], [1, 0, 1, 1, 0, 0]], 0.734
[[4], [0, 1], [0, 0, 0], [4, 0, 0, 0], [4, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0]], 0.737
[[5], [3, 1], [5, 0, 0], [3, 0, 0, 0], [0, 0, 0, 0, 1], [3, 0, 1, 1, 0, 1]], 0.7316
[[1], [4, 0], [3, 1, 1], [5, 1, 1, 1], [1, 1, 1, 0, 1], [4, 0, 0, 1, 0, 0]], 0.7194
[[5], [5, 0], [4, 0, 1], [4, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]], 0.745
[[3], [3, 0], [2, 1, 0], [1, 0, 0, 0], [4, 0, 0, 1, 0], [5, 1, 1, 0, 1, 1]], 0.7368
[[3], [3, 1], [1, 0, 1], [1, 1, 0, 0], [0, 1, 0, 0, 1], [5, 0, 0, 1, 1, 0]], 0.738
[[2], [3, 0], [1, 0, 0], [4, 0, 1, 1], [0, 1, 0, 0, 1], [3, 1, 1, 0, 0, 0]], 0.7328
[[5], [1, 1], [1, 0, 1], [5, 1, 1, 1], [1, 0, 0, 0, 1], [4, 0, 0, 1, 0, 0]], 0.7198
[[4], [0, 0], [0, 0, 1], [2, 0, 1, 0], [5, 0, 1, 0, 0], [1, 1, 0, 1, 0, 0]], 0.74
[[0], [4, 0], [1, 0, 0], [0, 0, 0, 1], [0, 1, 1, 0, 0], [3, 0, 0, 0, 0, 0]], 0.7486
[[0], [3, 0], [2, 0, 0], [3, 0, 1, 0], [1, 0, 1, 0, 1], [4, 0, 1, 0, 1, 1]], 0.7328
[[5], [3, 0], [3, 1, 1], [0, 1, 0, 0], [1, 1, 0, 0, 0], [3, 1, 0, 1, 0, 0]], 0.7414
[[5], [3, 0], [2, 0, 1], [2, 0, 1, 1], [4, 0, 1, 1, 0], [4, 1, 0, 0, 0, 0]], 0.736
[[2], [4, 0], [5, 0, 0], [2, 1, 1, 1], [1, 0, 0, 1, 1], [5, 1, 0, 0, 0, 1]], 0.731
[[1], [3, 1], [0, 1, 0], [1, 0, 0, 0], [2, 1, 0, 0, 0], [5, 0, 0, 0, 0, 0]], 0.7336
[[0], [4, 0], [5, 0, 1], [2, 1, 1, 1], [1, 0, 0, 1, 0], [3, 1, 0, 0, 0, 1]], 0.7378
[[5], [3, 0], [3, 0, 0], [3, 0, 0, 0], [5, 0, 1, 0, 0], [2, 0, 0, 0, 0, 1]], 0.7332
[[0], [0, 0], [5, 1, 1], [4, 1, 0, 1], [5, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0]], 0.7354
[[1], [0, 1], [1, 1, 1], [0, 1, 0, 0], [5, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0]], 0.7394
[[1], [3, 0], [0, 0, 0], [2, 0, 0, 0], [1, 1, 0, 1, 1], [3, 1, 1, 0, 0, 0]], 0.7402
[[1], [5, 0], [1, 0, 0], [1, 1, 0, 1], [5, 1, 0, 0, 1], [3, 0, 0, 1, 0, 0]], 0.7392
[[5], [2, 0], [0, 1, 0], [1, 0, 0, 1], [4, 0, 0, 1, 0], [3, 0, 0, 1, 0, 0]], 0.7366
[[2], [3, 1], [4, 1, 0], [3, 1, 1, 0], [2, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]], 0.7276
[[4], [3, 0], [0, 0, 1], [1, 0, 1, 0], [0, 0, 0, 1, 1], [2, 1, 0, 1, 1, 0]], 0.7372
[[5], [4, 0], [4, 1, 0], [5, 1, 0, 0], [0, 0, 1, 0, 0], [4, 1, 0, 0, 0, 0]], 0.7304
[[5], [1, 1], [4, 1, 0], [0, 0, 1, 0], [4, 0, 0, 1, 0], [5, 0, 1, 0, 1, 0]], 0.7352
[[3], [0, 0], [3, 1, 0], [3, 0, 1, 0], [3, 1, 1, 0, 1], [2, 1, 0, 0, 1, 0]], 0.7296
[[5], [4, 1], [1, 1, 0], [1, 0, 1, 0], [2, 1, 1, 0, 1], [2, 0, 1, 0, 0, 0]], 0.725
[[5], [0, 0], [3, 0, 0], [3, 0, 0, 1], [3, 0, 0, 1, 1], [4, 0, 1, 0, 1, 0]], 0.7394
[[0], [0, 0], [4, 1, 0], [1, 0, 1, 1], [5, 1, 0, 1, 1], [5, 1, 0, 0, 0, 0]], 0.7272
[[5], [2, 0], [2, 0, 0], [0, 0, 0, 0], [4, 1, 0, 0, 0], [1, 0, 0, 1, 0, 0]], 0.7422
[[1], [2, 0], [3, 0, 0], [1, 0, 0, 0], [4, 0, 0, 0, 0], [5, 0, 0, 1, 0, 0]], 0.7388
[[0], [4, 0], [5, 0, 0], [0, 0, 0, 0], [1, 1, 1, 0, 1], [3, 1, 0, 0, 1, 0]], 0.7352
[[5], [2, 1], [2, 0, 0], [4, 0, 1, 0], [1, 1, 1, 1, 1], [2, 0, 0, 0, 0, 0]], 0.7328
[[3], [0, 1], [3, 0, 1], [5, 0, 1, 0], [4, 0, 0, 0, 0], [3, 0, 0, 1, 0, 1]], 0.7306
[[2], [1, 1], [3, 1, 0], [1, 1, 0, 0], [4, 1, 0, 1, 0], [4, 0, 1, 1, 0, 0]], 0.7368
[[3], [5, 1], [2, 0, 0], [2, 1, 0, 0], [5, 0, 1, 0, 0], [3, 0, 1, 1, 0, 1]], 0.734
[[3], [5, 0], [3, 0, 1], [0, 0, 0, 0], [0, 0, 1, 0, 0], [1, 0, 0, 1, 0, 0]], 0.7428
[[5], [1, 0], [1, 1, 1], [5, 0, 1, 1], [0, 0, 0, 0, 0], [4, 1, 0, 0, 0, 0]], 0.731
[[0], [2, 0], [1, 1, 0], [0, 1, 0, 0], [5, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0]], 0.7328
[[3], [0, 1], [3, 0, 0], [2, 0, 0, 1], [3, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0]], 0.7362
[[4], [3, 0], [3, 0, 0], [4, 0, 1, 0], [4, 1, 0, 1, 0], [3, 1, 1, 0, 0, 0]], 0.7426
[[5], [2, 0], [5, 1, 0], [3, 0, 0, 0], [0, 0, 1, 0, 0], [5, 0, 0, 0, 0, 0]], 0.7302
[[4], [0, 1], [0, 0, 0], [0, 0, 1, 0], [4, 0, 0, 0, 0], [5, 1, 1, 1, 0, 0]], 0.7374
[[0], [3, 1], [3, 0, 0], [3, 0, 0, 0], [3, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1]], 0.7332
[[1], [2, 0], [5, 0, 1], [3, 0, 1, 0], [1, 0, 0, 1, 0], [3, 1, 1, 0, 1, 1]], 0.741
[[1], [2, 1], [0, 1, 1], [3, 0, 0, 0], [2, 0, 1, 0, 0], [0, 0, 0, 0, 1, 1]], 0.7284
[[0], [2, 0], [2, 0, 0], [3, 1, 0, 1], [5, 0, 0, 1, 1], [5, 0, 1, 0, 0, 0]], 0.737
[[5], [5, 1], [5, 1, 0], [4, 0, 1, 1], [1, 0, 0, 1, 1], [5, 0, 0, 0, 1, 0]], 0.7152
[[5], [5, 1], [1, 0, 0], [1, 1, 1, 0], [1, 0, 1, 1, 1], [5, 0, 0, 1, 1, 0]], 0.735
[[2], [5, 0], [0, 0, 1], [4, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]], 0.7414
[[0], [1, 0], [1, 0, 1], [3, 0, 0, 1], [3, 0, 0, 0, 0], [2, 1, 0, 0, 0, 0]], 0.7422
[[2], [0, 0], [5, 1, 0], [2, 0, 0, 0], [2, 0, 0, 1, 0], [4, 0, 1, 0, 1, 0]], 0.741
[[5], [4, 0], [5, 1, 0], [5, 0, 0, 1], [1, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]], 0.7372
[[1], [4, 0], [0, 0, 0], [1, 0, 0, 1], [3, 0, 0, 1, 0], [4, 0, 0, 0, 0, 0]], 0.7458
[[4], [2, 0], [5, 0, 0], [4, 0, 0, 0], [1, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0]], 0.739
[[0], [3, 0], [1, 0, 0], [1, 0, 0, 0], [3, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1]], 0.7406
[[2], [5, 0], [1, 1, 0], [1, 1, 1, 0], [5, 1, 1, 1, 0], [1, 0, 0, 0, 1, 0]], 0.7348
[[4], [5, 0], [2, 0, 0], [4, 0, 0, 1], [1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0]], 0.747
[[5], [0, 0], [5, 0, 0], [2, 0, 0, 0], [2, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0]], 0.7396
[[1], [5, 0], [4, 0, 0], [3, 0, 0, 0], [4, 0, 0, 1, 0], [5, 0, 1, 0, 0, 0]], 0.741
[[4], [1, 1], [5, 0, 0], [2, 0, 0, 0], [3, 1, 1, 1, 1], [2, 0, 1, 1, 0, 1]], 0.7326
[[0], [0, 1], [2, 1, 0], [1, 1, 0, 0], [1, 0, 0, 0, 1], [5, 0, 0, 0, 0, 0]], 0.728
[[1], [1, 0], [1, 1, 0], [3, 0, 0, 0], [3, 0, 0, 0, 1], [4, 0, 0, 0, 0, 0]], 0.7338
[[4], [2, 0], [5, 1, 0], [2, 0, 1, 1], [3, 0, 1, 0, 0], [4, 1, 0, 1, 1, 1]], 0.725
[[5], [3, 1], [1, 1, 0], [1, 0, 1, 0], [2, 1, 1, 1, 0], [2, 1, 0, 0, 0, 0]], 0.7274
